Model_Name,Algorithm,Gamma,Frequency,Version,Episode,Total_Reward,Episode_Length,Avg_Speed,Crashed
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,81,-11.19493949488275,9,28.76251188863446,1
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,82,2.16620829524691,120,20.865867691904054,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,83,0.9144607096045451,120,20.78253435857072,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,84,-10.743204580890605,13,28.09932041122018,1
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,85,1.3776062878983721,120,20.907534358570718,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,86,0.0,120,20.240867691904054,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,87,2.5236775551033266,120,21.28253435857072,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,88,0.0,120,20.03253435857072,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,89,0.0,120,20.115867691904054,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,90,-10.342609493542033,32,23.845907301902326,1
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,91,-13.0,69,20.309077467401575,1
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,92,-11.19493949488275,9,28.921412229695136,1
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,93,0.0,120,20.19920102523739,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,94,0.7794409982267593,120,20.53253435857072,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,95,-10.835539290395454,21,24.646199264379117,1
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,96,2.5222646781023794,120,21.115867691904054,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,97,-11.164672119236682,14,26.370604100814553,1
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,98,-11.593162114185198,42,21.96597118321749,1
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,99,0.0,120,20.115867691904054,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,100,-13.0,32,20.080337177973135,1
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,101,2.1860462262068667,120,21.032534358570718,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,102,-11.092502430245544,59,21.676341068279427,1
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,103,-10.74677074415471,65,21.87884165385178,1
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,104,2.1574319154148363,120,20.90753435857072,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,105,1.5089649919923356,120,20.887401996299452,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,106,0.0,120,20.115867691904054,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,107,-12.641774639356186,53,20.61454320179534,1
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,108,0.0,120,20.03253435857072,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,109,1.1657964784371304,120,20.78253435857072,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,110,-13.0,15,21.171373680387457,1
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,111,0.09232208750638211,120,20.199201023890236,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,112,0.37178553280326465,120,20.447606188690763,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,113,-11.24300181087135,110,20.865135125174795,1
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,114,0.0,120,20.32420102523739,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,115,0.20193768401139814,120,20.365867691904054,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,116,1.5754606865768892,120,21.070588642038306,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,117,-9.895265245403705,19,27.32083828505456,1
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,118,-11.584982392052726,52,21.39559210950283,1
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,119,-12.569135833734615,95,20.264893302833972,1
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,120,-10.091838581814635,38,23.78695060405873,1
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,121,-13.0,28,20.254453839260204,1
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,122,-10.953550742430828,120,20.892705895836382,1
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,123,0.5891970745096643,120,20.532534358548634,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,124,0.0,120,20.03253435857072,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,125,-12.759239944872753,99,20.36693278031019,1
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,126,3.6215860121028602,120,21.490867691904054,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,127,1.4656494120500343,120,20.69920102523739,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,128,2.3366348987220307,120,21.03253435857072,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,129,-12.878912741650263,28,20.761655185141354,1
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,130,-11.298868595691076,9,28.788985399557777,1
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,131,2.1574319154148363,120,20.90753435857072,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,132,1.4079888137552672,120,20.65753435857072,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,133,1.444866356672177,120,20.78253435857072,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,134,-11.339235923868584,12,26.4048134020949,1
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,135,-12.212446376199676,34,21.680138441769685,1
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,136,1.910614338453375,120,20.78253435857072,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,137,0.0,120,20.15753435857072,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,138,0.43086416626538554,120,20.240867691904054,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,139,-12.34410973935743,68,20.754799194863363,1
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,140,0.43086416626538554,120,20.28253435857072,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,141,0.6716242213926327,120,20.32420102523739,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,142,-10.834736172443712,84,21.239057314125134,1
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,143,1.1095250301288813,120,20.782534358570718,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,144,1.9402401958239446,120,21.07420102523739,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,145,-13.0,105,20.227658314557015,1
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,146,0.0,120,20.19920102523739,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,147,2.4062522005162092,120,21.03253435857072,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,148,3.0628646632452092,120,21.32420102523739,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,149,-12.798062315988602,93,20.163063051282016,1
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,150,0.6716242213926327,120,20.514265092486553,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,151,-13.0,31,19.907248629043487,1
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,152,-12.026242011604944,26,23.291616857166996,1
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,153,2.1605486841137567,120,20.94920102523739,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,154,-13.0,24,20.795033924648624,1
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,155,-13.0,120,20.242340119887597,1
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,156,0.0,120,20.19920102523739,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,157,0.0,120,20.365867691904054,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,158,0.0,120,20.157534181244117,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,159,-13.0,36,20.626966380420566,1
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,160,-12.569135833734615,23,21.003001509871126,1
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,161,-13.0,82,20.28132969466638,1
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,162,3.9104975793040366,120,21.44920102523739,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,163,0.3524883876580182,120,20.447617131080698,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,164,2.9202380167229296,120,21.157534358570718,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,165,-13.0,10,20.01640454540558,1
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,166,0.09232208750638211,120,20.44920102523739,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,167,-11.584982392052726,31,22.46214016729553,1
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,168,-13.0,27,20.604679453409748,1
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,169,1.551591416814348,120,20.90753435856275,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,170,0.4269526105687412,120,20.28253435857072,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,171,0.0,120,20.19920102523739,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,172,-12.569135833734615,25,21.006594548531176,1
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,173,0.0,120,20.066190639239288,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,174,2.918462708081799,120,21.115867691904054,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,175,0.5892464443044597,120,20.44920102523739,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,176,0.0,120,20.15753435857072,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,177,1.7576262976497077,120,21.157534274735944,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,178,4.400541611793279,120,22.07420094526973,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,179,-10.089498259114677,52,22.57507928900935,1
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,180,1.73981765334082,120,20.90753435857072,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,181,-13.0,29,20.657959116667303,1
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,182,2.037503577327799,120,20.990867691904054,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,183,-11.979938550938796,60,21.105439087511794,1
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,184,-13.0,17,20.534164844528988,1
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,185,-11.592011186244733,70,21.127201757549805,1
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,186,0.0,120,20.03253435857072,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,187,0.43086416626538554,120,20.240867691904054,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,188,-9.665692170166878,17,28.92731747685166,1
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,189,-11.33536749810714,24,23.7568651933162,1
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,190,-12.576163955926972,73,20.44006448630638,1
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,191,2.302656774368707,120,21.07420102523739,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,192,1.3296937095695398,120,20.615867691903205,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,193,3.337838985746651,120,21.490867691904054,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,194,-13.0,14,20.648619405540188,1
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,195,1.664676101622267,120,20.65753435857072,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,196,0.0,120,20.03253435857072,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,197,2.914413766376112,120,21.07420102523739,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,198,3.8576580595279957,120,21.740867691904054,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,199,-13.0,17,20.7394573025762,1
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,200,3.4073814816568526,120,21.365192463858122,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,201,0.7794409981125228,120,20.530950464414037,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,202,-8.945579689718812,110,21.921148593188263,1
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,203,-10.915258685676413,22,24.83992446512259,1
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,204,1.7086766544418717,120,20.740867691904054,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,205,-10.839451315886244,41,22.534246903131333,1
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,206,1.958611000102359,120,20.82420102523739,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,207,-13.0,46,20.41480031275024,1
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,208,-13.0,9,20.7908713407045,1
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,209,-13.0,66,20.05915337921949,1
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,210,1.742762464647366,120,20.949201025235485,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,211,0.43086416626538554,120,20.240867691904054,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,212,-13.0,5,20.408652254708745,1
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,213,3.3137669784653765,120,21.490867691904054,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,214,0.0,120,20.115867691904054,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,215,1.859424803766848,120,20.865867691904054,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,216,-13.0,43,20.2634033779223,1
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,217,2.1647734289711504,120,20.865867691904054,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,218,0.0,120,20.157534357767076,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,219,0.0,120,20.03253435857072,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,220,3.8027893635283685,120,21.824201025122502,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,221,2.144684626159507,120,21.157534358570718,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,222,-12.724983198286516,9,23.57435807713996,1
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,223,0.09232208750638211,120,20.15753435857072,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,224,0.715635167026487,120,20.65753435857072,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,225,-9.835588660193803,22,26.143579134052796,1
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,226,1.3296937169030159,120,20.69920102523739,0
