Model_Name,Algorithm,Gamma,Frequency,Version,Episode,Total_Reward,Episode_Length,Avg_Speed,Crashed
Optimized_1Hz_Gamma93_target_150,QRDQN,0.9,1Hz,No,337,0.0,60,20.100509167537574,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.9,1Hz,No,338,0.0,60,20.100509167537577,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.9,1Hz,No,339,0.0,60,20.01717583420425,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.9,1Hz,No,340,-15.0,18,19.431652374508847,1
Optimized_1Hz_Gamma93_target_150,QRDQN,0.9,1Hz,No,341,0.0,60,20.18384250087091,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.9,1Hz,No,342,-15.0,5,19.24144965140716,1
Optimized_1Hz_Gamma93_target_150,QRDQN,0.9,1Hz,No,343,-15.0,35,19.95342177788596,1
Optimized_1Hz_Gamma93_target_150,QRDQN,0.9,1Hz,No,344,0.0,60,20.183842500870913,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.9,1Hz,No,345,-15.0,46,19.917548726310418,1
Optimized_1Hz_Gamma93_target_150,QRDQN,0.9,1Hz,No,346,0.0,60,20.01717583420425,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.9,1Hz,No,347,0.0,60,20.01717583420425,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.9,1Hz,No,348,0.0,60,20.26717583420424,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.9,1Hz,No,349,0.0,60,20.183842500870917,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.9,1Hz,No,350,-15.0,35,19.88750818735356,1
Optimized_1Hz_Gamma93_target_150,QRDQN,0.9,1Hz,No,351,0.0,60,20.26717583420424,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.9,1Hz,No,352,0.0,60,20.01717583420425,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.9,1Hz,No,353,0.0,60,20.01717583420425,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.9,1Hz,No,354,0.0,60,20.01717583420425,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.9,1Hz,No,355,0.0,60,20.100509167537577,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.9,1Hz,No,356,0.0,60,20.01717583420425,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.9,1Hz,No,357,0.0,60,20.01717583420425,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.9,1Hz,No,358,0.0,60,20.01717583420425,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.9,1Hz,No,359,0.0,60,20.183842500870906,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.9,1Hz,No,360,-15.0,21,19.684274391714684,1
Optimized_1Hz_Gamma93_target_150,QRDQN,0.9,1Hz,No,361,0.0,60,20.01717583420425,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.9,1Hz,No,362,0.0,60,20.01717583420425,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.9,1Hz,No,363,0.0,60,20.01717583420425,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.9,1Hz,No,364,-15.0,8,18.882848511846653,1
Optimized_1Hz_Gamma93_target_150,QRDQN,0.9,1Hz,No,365,-15.0,25,19.615758831614666,1
Optimized_1Hz_Gamma93_target_150,QRDQN,0.9,1Hz,No,366,0.23415100237987385,60,20.350509167537574,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.9,1Hz,No,367,0.0,60,20.01717583420425,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.9,1Hz,No,368,0.0,60,20.100509167537574,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.9,1Hz,No,369,0.0,60,20.01717583420425,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.9,1Hz,No,370,0.0,60,20.01717583420425,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.9,1Hz,No,371,0.0,60,20.100509167537574,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.9,1Hz,No,372,0.0,60,20.100509167537574,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.9,1Hz,No,373,-15.0,13,19.213057133959353,1
Optimized_1Hz_Gamma93_target_150,QRDQN,0.9,1Hz,No,374,0.0,60,20.01717583420425,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.9,1Hz,No,375,0.0,60,20.01717583420425,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.9,1Hz,No,376,0.0,60,20.01717583420425,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.9,1Hz,No,377,0.0,60,20.100509167537574,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.9,1Hz,No,378,0.0,60,20.01717583420425,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.9,1Hz,No,379,0.0,60,20.01717583420425,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.9,1Hz,No,380,-15.0,25,19.807818479456433,1
Optimized_1Hz_Gamma93_target_150,QRDQN,0.9,1Hz,No,381,-15.0,55,19.813995322566537,1
Optimized_1Hz_Gamma93_target_150,QRDQN,0.9,1Hz,No,382,0.0,60,20.01717583420425,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.9,1Hz,No,383,0.0,60,20.100509167537584,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.9,1Hz,No,384,0.0,60,20.100509167537577,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.9,1Hz,No,385,0.0,60,20.183842440264847,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.9,1Hz,No,386,0.0,60,20.01717583420425,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.9,1Hz,No,387,-15.0,23,19.83509745262083,1
Optimized_1Hz_Gamma93_target_150,QRDQN,0.9,1Hz,No,388,0.0,60,20.01717583420425,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.9,1Hz,No,389,0.0,60,20.100509167537584,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.9,1Hz,No,390,0.0,60,20.01717583420425,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.9,1Hz,No,391,0.0,60,20.01717583420425,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.9,1Hz,No,392,0.0,60,20.01717583420425,0
